id,nom,nom_arrondissement
1,"Aire de glissade ,Don-Bosco",Rivière-des-Prairie-Pointe-aux-Trembles
13,"Aire de glissade ,Don-Bosco",Rivière-des-Prairie-Pointe-aux-Trembles
1,"Aire de glissade, Ahuntsic",Ahuntsi-Cartierville
14,"Aire de glissade, Du Pélica",Rosemon-La Petite-Patrie
8,"Aire de glissade, Ignace-Bourget",Le Sud-Ouest
3,"Aire de glissade, Mont-Royal",Ville-Marie
18,"Aire de glissade, Mont-Royal",Ville-Marie
3,"Aire de glissade, Parc Confédératio",Côte-des-Neige-Notre-Dame-de-Grâce
6,"Aire de glissade, Parc Confédération",Côte-des-Neige-Notre-Dame-de-Grâce
6,"Aire de glissade, Parc Grovehill",Lachine
19,"Aire de glissade, Parc Jarry",Villeray-Saint-Miche-Parc-Extensio
7,"Aire de glissade, Parc Van-Horne",Côte-des-Neige-Notre-Dame-de-Grâce
16,"Aire de glissade, parc Couberti",Saint-Léonard
2,"Aire de glissade,François-Vaillancourt",Rivière-des-Prairie-Pointe-aux-Trembles
8,"Aire de glissade,Saint-Jean-Baptiste",Rivière-des-Prairie-Pointe-aux-Trembles
9,"Aire de glissade,Saint-Joseph",Rivière-des-Prairie-Pointe-aux-Trembles
4,"Anneau de glace, Parc Eugène-Dostie (PPL",L'Île-Bizar-Sainte-Geneviève
2,"Anneau de glace, Parc Lucie-Bruneau (PPL",Anjou
5,"Anneau à patiner ,  parc Hayward (PPL",LaSalle
17,"Glissade, Parc Arthur-Therrie",Verdu
4,"Glissade, Parc Arthur-Therrien",Verdun
11,"Glissade, Parc Beaubie",Outremont
5,"Glissade, Parc Beaubien",Outremont
15,"Glissade, Parc Hartenstei",Saint-Laurent
7,"Grande patinoire avec bandes, La Fontaine (PSE",Le Plateau-Mont-Royal
10,"Patinoire avec bandes , parc Charleroi (PSE",Montréal-Nord
9,"Patinoire avec bandes, De La Bruère (PSE",Mercie-Hochelaga-Maisonneuve
12,"Patinoire de patin libre Ouest, Parc Alexander (PPL",Pierrefond-Roxboro
